stop_id	name	latitude	longitude
node/7085040046	Après le Pont	5.307699	-4.020261
node/7085040047	Garage	5.326406	-4.027425
node/7085040048	Ancien ONUCI	5.340202	-4.030670
node/7085040049	Pharmacie d'Agban	5.358829	-4.029664
node/7085185967	Magasin	5.335431	-4.083819
node/7098748078	Nouvelle Gare Bingerville	5.353007	-3.877554
node/7098748079	Ancien Marché	5.357058	-3.883384
node/7098748080	Carrefour Marché	5.357339	-3.886328
node/7098748081	Carrefour Garage	5.361681	-3.906856
node/7098748082	Adama	5.369556	-3.910177
node/7098748084	Riviera 2	5.352969	-3.979250
node/7160556541	Saint Jean	5.336062	-4.003577
node/7160556542	Feu PDCI	5.335149	-3.996117
node/7160556543	Feu Mosquée Golf	5.339083	-3.978746
node/7160556544	Gorille carrefour	5.346658	-3.975263
node/7160556546	Rond-point Riviera 2	5.352731	-3.976883
node/7160672808	Saint Jean	5.336504	-4.004032
node/7160672809	Carrefour la Vie	5.349177	-4.002437
node/7160672810	ENA	5.360799	-3.997863
node/7160672812	Opera	5.385205	-3.993176
node/7160738662	Sodemi	5.344688	-4.003044
node/7167781671	Marché Adjoufou	5.243318	-3.921137
node/7167781673	Eglise Catholique	5.240411	-3.902815
node/7167781674	Carrefour Abraham	5.237917	-3.886596
node/7190927831	Grand Carrefour de Koumassi - Avant le feu	5.287564	-3.970360
node/7190927832	Le Réservoir	5.277217	-3.967002
node/7834873584	Akouédo basket	5.348420	-3.940936
node/7835784412	Pharmacie Saint-Pierre des Rosées	5.353852	-3.957892
node/7836121074	Leader price	5.339609	-3.975146
node/7836121075	Carrefour Flambeau	5.340679	-3.974684
node/7836121076	Carrefour marché	5.345424	-3.974897
node/7836121077	Carrefour garage	5.347790	-3.975596
node/7842852286	CIE Cocody St-Jean	5.338548	-4.003779
node/7843272685	Jacques Prévert / Synacassi 1	5.345954	-3.949556
node/7843927987	Siporex - Pharmacie	5.355687	-4.074544
node/7843928086	Collège Jeunnes Filles Singa	5.328832	-4.049157
node/7843928185	Toit Rouge Jean-Paul 2	5.330605	-4.047347
node/7843928285	Auchan	5.330940	-4.051508
node/7843928385	Offoumou Yapo	5.331736	-4.052330
node/7844053285	5 étoiles	5.336637	-4.062241
node/7866306286	Prison Civil	5.392394	-4.083521
node/7866306685	Gabriel Gare	5.356397	-4.072602
node/7873450686	Complexe	5.340497	-4.062257
node/7873450785	Brésil	5.335705	-4.062243
node/7876023212	Picasso	5.338970	-4.062162
node/7876023214	Collège Sôna	5.331248	-4.062042
node/7876057940	Passeport	5.326434	-4.059969
node/7878542186	Boulagerie Blé Doré	5.323569	-4.056587
node/7884343661	Somafix	5.348330	-4.018984
node/7884438891	Bon Prix	5.355873	-4.070103
node/7884438892	Carrefour Gabriel Gare	5.355803	-4.071602
node/7884438893	Marché Siporex	5.355643	-4.075623
node/7884438894	Carrefour Marché Siporex	5.355492	-4.079257
node/7884438895	Carrefour Zone	5.355309	-4.085189
node/7884438897	Carrefour CHU	5.355190	-4.088968
node/7884545388	Carrefour Zone	5.355655	-4.084834
node/7902826896	Carrefour Marché	5.355279	-4.086209
node/7902959148	Carrefour Canal	5.335446	-4.087459
node/7902973078	Terminus bus 47	5.339541	-4.082797
node/7902973079	Station Pétro Ivoire	5.335442	-4.090569
node/7902973080	Carrefour Boby	5.332428	-4.090770
node/7902973081	Église Sainte-Rita	5.327571	-4.096814
node/7903002099	CEMA	5.355158	-4.090414
node/7903002102	Gare Gesco	5.367094	-4.101904
node/7966345987	Cité Ado	5.401269	-4.084239
node/7966345988	MACA	5.389077	-4.078360
node/7966346085	N'dotré	5.443069	-4.069399
node/8758117812	Marche Bingerville	5.356425	-3.882474
node/8866958390	Anokoi Kouté	5.438077	-4.038448
node/9250076888	Adjamé Texaco	5.354905	-4.018581
node/9271804739	Clinique la Rosette	5.301637	-4.003186
node/9271804742	Adjamé Liberté	5.353218	-4.014563
node/9271876733	SICOMEX Marcory	5.292346	-3.975171
node/9271876734	Pharmacie Elite	5.294203	-3.978559
node/9271876735	Echangeur Marcory	5.295481	-3.981054
node/9271876736	Grand Carrefour de Treichville	5.298490	-4.001607
node/9289220169	Carrefour Duncan	5.377936	-3.997299
node/9289220170	Las Palmas	5.380614	-3.994648
node/9289220171	Les Oscars	5.394517	-3.992027
node/9289258035	Ancien SONATT	5.388406	-3.992797
node/9289258036	Carrefour Adama Sanogo	5.401426	-3.991229
node/9289796144	Angré Petro Ivoire	5.405050	-3.990732
node/9293117898	Plaque Anador	5.406809	-4.016466
node/9293117899	Coco Service	5.404210	-4.017783
node/9293711894	Mosquée de la Riviera 3	5.349233	-3.954026
node/9294738197	Banco	5.412409	-4.015991
node/9294738200	Express	5.400115	-4.020138
node/9294738201	Université Première Porte	5.388227	-4.020736
node/9294738206	Après le Pont	5.364085	-4.029493
node/9294738207	Garage en Haut	5.366714	-4.029501
node/9294738208	Garage Machine	5.401987	-4.019476
node/9294738209	Banco	5.411555	-4.016197
node/9294738210	Saint Joseph	5.419416	-4.017609
node/9300351950	ITS	5.304541	-4.014827
node/9300351951	Cité Policière	5.308005	-4.016050
node/9300351957	Garage en Haut	5.366157	-4.029218
node/9300530492	Moulin	5.307898	-4.019404
